History Index - RR,R-R Interval(ms) - RR
2031,807.292
2032,759.766
2033,755.208
2034,755.859
2035,723.307
2036,794.271
2037,753.255
2038,759.766
2039,764.974
2040,766.276
2041,762.37
2042,781.25
2043,783.854
2044,777.995
2045,738.281
2046,787.109
2047,822.917
2048,761.068
2049,720.052
2050,759.115
2051,794.271
2052,738.932
2053,735.677
2054,707.031
2055,792.969
2056,757.812
2057,763.672
2058,776.693
2059,744.792
2060,833.984
2061,788.411
2062,789.714
2063,787.76
2064,749.349
2065,819.01
2066,766.927
2067,763.021
2068,756.51
2069,725.26
2070,686.198
2071,636.068
2072,640.625
2073,638.672
2074,639.323
2075,641.276
2076,755.859
2077,774.74
2078,764.974
2079,765.625
2080,732.422
2081,805.99
2082,762.37
2083,755.208
2084,755.208
2085,720.703
2086,801.432
2087,755.208
2088,754.557
2089,762.37
2090,728.516
2091,808.594
2092,766.276
2093,770.182
2094,775.391
2095,736.979
2096,815.755
2097,776.693
2098,777.344
2099,777.995
2100,737.63
2101,819.01
2102,783.203
2103,780.599
2104,777.344
2105,743.49
2106,820.312
2107,781.25
2108,775.391
2109,769.531
2110,740.885
2111,807.292
2112,769.531
2113,722.656
2114,764.974
2115,768.229
2116,796.224
2117,757.161
2118,720.052
2119,791.016
2120,750.651
2121,747.396
2122,744.141
2123,726.562
2124,690.755
2125,634.766
2126,636.719
2127,600.26
2128,647.786
2129,669.922
2130,738.932
