History Index - RR,R-R Interval(ms) - RR,
2365,890.625,67.36842105
2366,876.953,68.41871799
2367,878.906,68.26668608
2368,859.375,69.81818182
2369,841.146,71.33125522
2370,848.307,70.72911104
2371,843.75,71.11111111
2372,832.682,72.05631922
2373,826.172,72.62410249
2374,837.891,71.60835956
2375,835.286,71.831684
2376,813.151,73.7870334
2377,814.453,73.66907605
2378,828.125,72.45283019
2379,834.635,71.88771139
2380,821.615,73.02690433
2381,824.219,72.79618645
2382,837.891,71.60835956
2383,848.307,70.72911104
2384,835.937,71.77574387
2385,828.125,72.45283019
2386,840.495,71.38650438
2387,838.542,71.55276659
2388,828.125,72.45283019
2389,812.5,73.84615385
2390,809.245,74.14318284
2391,794.271,75.54096776
2392,773.437,77.57580773
2393,753.906,79.58551862
2394,735.026,81.62976548
2395,722.005,83.10191758
2396,725.911,82.65476071
2397,733.724,81.77461825
2398,750.651,79.93062022
2399,784.505,76.48134811
2400,819.01,73.25917876
2401,843.099,71.16601965
2402,854.818,70.19037971
2403,869.792,68.98200949
2404,861.979,69.60726421
2405,844.401,71.05628724
2406,830.078,72.28236383
2407,830.078,72.28236383
2408,815.755,73.55149524
2409,805.99,74.44261095
2410,813.802,73.72800755
2411,822.917,72.91136287
2412,819.661,73.20099407
2413,815.104,73.61023869
2414,834.635,71.88771139
2415,835.286,71.831684
2416,836.589,71.71980507
2417,839.844,71.4418392
2418,843.099,71.16601965
2419,833.984,71.94382626
2420,816.406,73.49284547
2421,813.802,73.72800755
2422,800.781,74.92685266
2423,791.016,75.85181589
2424,802.734,74.74456046
2425,820.312,73.14290173
2426,825.521,72.68137334
2427,839.193,71.49725987
2428,862.63,69.55473378
2429,867.187,69.18922908
2430,860.677,69.71256348
2431,854.818,70.19037971
2432,852.865,70.35111067
2433,838.542,71.55276659
2434,824.87,72.73873459
2435,822.917,72.91136287
2436,810.547,74.02408497
2437,797.526,75.23265699
2438,789.714,75.97687264
2439,789.714,75.97687264
2440,781.901,76.73605738
2441,779.948,76.92820547
2442,793.62,75.60293339
2443,793.62,75.60293339
2444,796.875,75.29411765
2445,796.224,75.3556788
2446,799.479,75.04887558
2447,783.854,76.54486677
2448,768.229,78.10171186
2449,756.51,79.31157552
2450,736.979,81.41344597
2451,717.448,83.62975435
2452,695.312,86.29219688
2453,682.292,87.93888834
2454,662.76,90.53050878
2455,651.693,92.06789086
2456,642.578,93.37387835
2457,632.161,94.91253019
2458,622.396,96.40164783
2459,612.63,97.93839675
2460,605.469,99.09673328
2461,600.911,99.84839685
2462,598.307,100.2829651
2463,600.26,99.95668544
2464,604.167,99.31029004
2465,615.234,97.52386897
2466,633.464,94.71730043
2467,659.505,90.9773239
2468,678.385,88.44535183
2469,697.266,86.05037389
2470,720.052,83.32731525
2471,742.839,80.77120345
2472,751.302,79.86136068
2473,759.766,78.97168339
2474,776.693,77.25059966
2475,777.344,77.18590482
2476,779.948,76.92820547
2477,787.109,76.22832416
2478,798.828,75.1100362
2479,792.318,75.72717015
2480,793.62,75.60293339
2481,813.802,73.72800755
2482,818.359,73.31745603
2483,820.964,73.08481249
2484,826.172,72.62410249
2485,855.469,70.1369658
2486,873.698,68.67361491
2487,863.281,69.50228257
2488,861.328,69.65987405
2489,856.12,70.08363314
2490,856.771,70.03038151
2491,841.146,71.33125522
2492,813.151,73.7870334
2493,812.5,73.84615385
2494,818.359,73.31745603
2495,816.406,73.49284547
2496,809.896,74.08358604
2497,802.734,74.74456046
2498,800.13,74.98781448
2499,788.411,76.10243896
2500,783.203,76.60849103
2501,772.135,77.70661866
2502,771.484,77.7721897
2503,794.922,75.47910361
2504,819.661,73.20099407
2505,834.635,71.88771139
2506,850.26,70.5666502
2507,879.557,68.21615882
2508,879.557,68.21615882
2509,863.932,69.44991041
2510,862.63,69.55473378
2511,857.422,69.97721076
2512,841.146,71.33125522
2513,826.823,72.56692182
2514,836.589,71.71980507
2515,825.521,72.68137334
2516,811.198,73.9646794
2517,819.661,73.20099407
2518,841.797,71.2760915
2519,839.193,71.49725987
2520,830.729,72.22571982
2521,840.495,71.38650438
2522,850.911,70.51266231
2523,846.354,70.89232165
2524,834.635,71.88771139
2525,842.448,71.22101305
2526,835.937,71.77574387
2527,830.078,72.28236383
2528,830.729,72.22571982
2529,846.354,70.89232165
2530,833.333,72.0000288
2531,825.521,72.68137334
2532,848.958,70.67487438
2533,871.094,68.878904
2534,866.536,69.24120867
2535,857.422,69.97721076
2536,873.047,68.72482237
2537,886.068,67.71489321
2538,872.396,68.77610626
2539,863.932,69.44991041
2540,883.464,67.91448208
2541,890.625,67.36842105
2542,884.115,67.86447464
2543,884.766,67.81454079
2544,904.297,66.34988284
2545,898.437,66.78264586
2546,886.719,67.66517916
2547,895.833,66.97676911
2548,907.552,66.11191425
2549,902.344,66.49348807
2550,899.089,66.73421652
2551,912.76,65.73469477
2552,900.391,66.63771628
2553,888.021,67.56596972
2554,896.484,66.92813257
2555,905.599,66.25449012
2556,896.484,66.92813257
