History Index - RR,R-R Interval(ms) - RR
1448,1013.02
1449,1027.34
1450,1027.99
1451,1012.37
1452,1005.86
1453,1007.16
1454,994.792
1455,996.745
1456,1017.58
1457,1010.42
1458,1003.91
1459,1015.62
1460,1027.99
1461,1001.3
1462,986.979
1463,1020.18
1464,1025.39
1465,1005.21
1466,994.141
1467,1015.62
1468,962.891
1469,839.844
1470,801.432
1471,817.708
1472,701.172
1473,665.365
1474,708.984
1475,795.573
1476,791.016
1477,662.109
1478,779.297
1479,783.854
1480,759.766
1481,733.073
1482,736.979
1483,824.219
1484,785.156
1485,756.51
1486,753.255
1487,766.276
1488,769.531
1489,772.786
1490,773.437
1491,779.948
1492,775.391
1493,763.672
1494,757.812
1495,779.948
1496,833.333
1497,888.021
1498,914.714
1499,951.172
1500,1007.16
1501,1033.85
1502,1010.42
1503,1007.81
1504,1037.76
1505,1031.25
1506,1018.88
1507,1027.99
1508,1041.67
1509,1032.55
1510,1033.2
1511,1037.11
1512,1027.34
1513,1026.04
1514,1039.06
1515,1031.9
1516,1026.04
1517,1049.48
1518,1046.87
1519,1033.85
1520,1035.81
1521,1034.51
1522,1034.51
1523,1033.85
1524,1027.34
1525,1020.18
1526,1022.79
1527,1026.04
1528,1026.04
1529,1023.44
1530,1026.69
1531,1031.9
1532,1033.2
1533,1036.46
1534,1035.81
1535,1034.51
1536,1035.16
1537,1029.95
1538,1044.92
1539,1061.85
1540,1047.53
1541,1053.39
1542,1075.52
1543,1064.45
1544,1038.41
1545,1044.92
1546,1041.67
1547,1020.83
1548,1014.32
1549,1026.69
1550,1004.56
1551,992.839
1552,1024.09
1553,1018.23
1554,1005.86
1555,1017.58
1556,1037.76
1557,1019.53
1558,995.443
1559,1018.88
1560,1025.39
1561,1020.83
1562,1024.09
1563,1026.04
1564,1026.69
1565,1018.88
1566,1018.23
1567,1006.51
1568,1004.56
1569,1010.42
1570,996.745
1571,994.141
1572,1003.26
1573,998.047
1574,993.49
1575,1011.07
1576,1019.53
1577,906.25
1578,746.094
1579,832.031
1580,763.672
1581,621.745
1582,602.214
1583,714.193
1584,864.583
1585,766.276
1586,833.984
1587,977.865
1588,1005.86
1589,994.141
1590,1012.37
1591,1044.27
1592,1029.3
1593,1011.72
1594,1018.88
1595,1017.58
1596,988.932
1597,992.187
1598,1016.28
1599,1007.81
1600,1010.42
1601,1039.71
1602,1048.18
1603,1040.36
1604,1043.62
1605,1048.83
1606,1027.99
1607,1018.88
1608,1033.2
1609,1018.23
1610,1009.77
1611,1038.41
1612,1050.13
1613,1028.65
1614,1020.18
1615,1038.41
1616,1021.48
1617,1004.56
1618,1018.23
1619,1023.44
1620,1022.79
1621,1029.3
1622,1046.22
1623,1024.09
1624,1007.81
1625,1027.99
1626,1023.44
1627,999.349
1628,1008.46
1629,1031.9
1630,1016.93
1631,1005.86
1632,1016.28
1633,1014.32
1634,1000.65
1635,1004.56
1636,1007.81
1637,989.583
1638,988.932
1639,985.026
1640,972.656
1641,981.12
1642,983.073
1643,921.224
1644,968.099
1645,984.375
1646,976.562
1647,949.219
1648,973.307
1649,1037.11
1650,983.073
1651,999.349
1652,1013.02
1653,1016.28
1654,1014.32
1655,1035.81
1656,1024.09
1657,1005.86
1658,1021.48
1659,1016.28
1660,1002.6
1661,1000.65
1662,1005.86
1663,997.396
1664,995.443
1665,1013.67
1666,1003.91
1667,1003.26
1668,1024.74
1669,1026.04
1670,1024.09
1671,1026.69
1672,1034.51
1673,1011.07
1674,998.698
1675,1016.28
1676,996.745
1677,981.771
1678,996.745
1679,1013.67
1680,1003.26
1681,1009.77
1682,1040.36
1683,1037.76
1684,1031.9
1685,1045.57
1686,1048.83
1687,1020.18
1688,1007.16
1689,1010.42
1690,988.281
1691,972.005
1692,993.49
1693,990.885
1694,979.167
1695,984.375
1696,1005.21
1697,994.141
1698,976.562
1699,998.047
1700,995.443
1701,989.583
1702,998.698
1703,1013.02
1704,996.745
1705,991.536
1706,1005.86
1707,997.396
1708,984.375
1709,981.12
1710,982.422
1711,975.911
1712,976.562
1713,970.052
1714,950.521
1715,960.937
1716,985.677
1717,974.609
1718,968.75
1719,1004.56
1720,1013.67
1721,1002.6
1722,1000.65
1723,1002.6
1724,987.63
1725,978.516
1726,982.422
1727,965.495
1728,957.682
1729,975.911
1730,974.609
1731,953.776
1732,966.797
1733,978.516
1734,961.589
1735,955.078
1736,981.771
1737,981.12
1738,948.568
1739,929.036
1740,925.781
1741,904.948
1742,880.208
1743,893.88
1744,919.271
1745,925.781
1746,928.385
1747,937.5
1748,939.453
1749,905.599
1750,863.932
1751,843.099
1752,822.917
1753,792.318
1754,770.182
1755,820.312
1756,848.307
1757,889.974
1758,938.802
1759,969.401
1760,983.724
1761,970.052
1762,994.792
1763,975.911
1764,966.146
1765,992.187
1766,996.745
1767,978.516
1768,960.937
1769,958.984
1770,917.969
1771,749.349
1772,736.979
1773,727.865
1774,707.031
1775,694.01
1776,705.078
1777,880.859
1778,928.385
1779,936.198
1780,949.87
1781,970.052
1782,968.75
1783,904.297
1784,738.281
1785,729.818
1786,657.552
1787,621.745
1788,606.12
1789,600.911
1790,695.312
1791,666.016
1792,699.219
1793,697.917
1794,698.568
1795,716.797
1796,757.161
1797,790.365
1798,813.802
1799,850.911
1800,895.182
1801,905.599
1802,899.089
1803,920.573
1804,940.755
1805,932.943
1806,935.547
1807,966.797
1808,974.609
1809,973.958
1810,990.234
1811,1002.6
1812,997.396
1813,1000.65
1814,1007.16
1815,997.396
1816,1001.95
1817,1024.74
1818,1018.88
1819,1009.77
1820,1030.6
1821,1031.9
1822,1029.3
1823,1029.95
1824,1028.65
1825,1029.3
1826,1031.9
1827,1030.6
1828,1023.44
1829,1029.95
1830,1037.76
1831,1040.36
1832,1043.62
1833,1061.85
1834,1050.78
1835,1041.02
1836,1050.78
1837,1031.9
1838,1016.93
1839,1015.62
1840,1011.72
1841,998.698
1842,999.349
1843,1010.42
1844,988.281
1845,979.818
1846,1001.3
1847,1005.86
1848,983.724
1849,974.609
1850,993.49
1851,990.885
1852,969.401
1853,973.958
1854,999.349
1855,999.349
1856,990.885
1857,998.047
1858,1014.32
1859,997.396
1860,986.979
1861,1011.07
1862,1014.97
1863,1011.72
1864,1012.37
1865,1005.21
1866,999.349
1867,994.792
1868,996.094
1869,983.073
1870,974.609
1871,997.396
1872,994.141
1873,984.375
1874,1001.3
1875,1021.48
1876,1017.58
1877,1014.97
1878,1029.3
1879,1014.97
1880,988.932
1881,984.375
1882,995.443
1883,979.818
1884,981.12
1885,1004.56
1886,1008.46
1887,991.536
1888,986.328
1889,1000.65
1890,986.979
1891,954.427
1892,940.104
1893,943.359
1894,958.333
1895,941.406
1896,940.755
1897,981.771
1898,1021.48
1899,1029.95
1900,1011.72
1901,1038.41
1902,1054.69
1903,1026.69
1904,1013.02
1905,1031.25
1906,1033.2
1907,1004.56
1908,996.094
1909,1018.23
1910,1007.81
1911,995.443
1912,1020.18
1913,1048.83
1914,1037.76
1915,947.266
1916,858.073
1917,842.448
1918,793.62
1919,744.792
1920,667.969
1921,624.349
1922,578.125
1923,512.37
1924,490.234
1925,406.901
1926,396.484
1927,464.844
1928,549.479
1929,570.964
1930,568.359
1931,645.182
1932,716.146
1933,753.906
1934,795.573
1935,824.87
1936,852.214
1937,882.812
1938,904.948
1939,904.297
1940,906.25
1941,925.13
1942,952.474
1943,949.219
1944,938.151
1945,958.984
1946,974.609
1947,966.797
1948,961.589
1949,990.234
1950,1013.67
1951,1001.3
1952,1001.3
1953,1039.06
1954,1041.67
1955,1014.97
1956,1018.23
1957,1031.9
1958,1020.83
1959,1010.42
1960,1026.69
1961,1028.65
1962,1031.9
1963,1046.22
1964,1040.36
1965,1034.51
1966,1041.02
1967,1053.39
1968,1043.62
1969,1050.13
1970,1076.82
1971,1060.55
1972,1047.53
1973,1067.71
1974,1069.66
1975,1036.46
1976,1029.95
1977,1058.59
1978,1045.57
1979,1036.46
1980,1046.22
1981,1045.57
1982,1037.76
1983,1014.97
1984,994.792
1985,951.172
1986,913.411
1987,899.74
1988,881.51
1989,857.422
1990,865.234
1991,908.854
1992,929.687
1993,933.594
1994,940.104
1995,981.12
1996,999.349
1997,973.958
1998,984.375
1999,1009.11
2000,1011.72
2001,995.443
2002,998.047
2003,1025.39
2004,1016.93
2005,993.49
2006,1016.93
2007,1048.83
2008,1060.55
2009,1041.67
2010,1054.69
2011,1089.84
2012,1080.08
2013,1044.27
2014,1033.2
2015,1051.43
2016,1056.64
2017,1036.46
2018,1038.41
2019,1066.41
2020,1066.41
2021,1043.62
2022,1025.39
2023,1024.09
2024,989.583
2025,930.339
2026,880.859
2027,848.307
2028,801.432
2029,751.953
2030,731.12
2031,732.422
2032,743.49
2033,761.068
2034,805.99
2035,861.328
2036,895.833
2037,923.177
2038,964.844
2039,985.026
2040,964.844
2041,949.219
